uid,address,group,confirmed,installed,lat,lng,artist,description
96,801 Hill Ave.,1,1,0,40.3376471,-75.9524453,,Textile Ferrandino story
97,WR Pool House,1,1,0,40.327203,-75.9490764,Emilia Olsen,Big Tree
98,WR Pool House,2,1,0,40.3272255,-75.9490496,Helena Kauppila,Crowded Pool
99,WR Pool House,3,1,0,40.3271866,-75.9491086,Holly Leonardson,Water Pageant
100,WR Pool House,4,1,0,40.3271723,-75.9491247,Maria Calandra ,skinny dipping
101,WR Pool House,5,1,0,40.3271559,-75.9491462,Ralph Pugay,Fire diver
102,WR Pool House,6,1,0,40.3272009,-75.9490952,Vincent Strijkan,Byron DIY Fire Diver
103,421 Chestnut St.,8,1,0,40.3335988,-75.9465122,,Teacher interviiew
104,421 Chestnut St.,9,1,0,40.3337052,-75.9460026,,Sabrina Interview
105,604 Penn Ave.,0,1,0,40.3357089,-75.9500447,Ari Bird,Sally Star
106,353 Chestnut St.,1,1,0,40.3335314,-75.9457773,Jordy van den Niewendijk,Duncan Yoyo
107,550 Penn Ave.,1,1,0,40.3355698,-75.9495699,Erin Zona,Trolley Wire
108,WR Pool House,7,1,0,40.3272408,-75.9490335,Sofie Ramos,Sheila Carnival
109,166 Franklin St.,0,1,0,40.3337379,-75.942328,Adrian Mangel,Browns Diner
110,600 Penn Ave.,1,1,0,40.3356833,-75.9498274,,
